Mini2017,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.682,0.647,0.758,0.702,0.687,0.759,0.736,0.738,0.758,0.899,0.856,0.764,0.752,0.021,0.008,0.057
0.04,0.777,0.747,0.841,0.797,0.781,0.842,0.825,0.825,0.84,0.949,0.913,0.849,0.838,0.027,0.01,0.069
0.06,0.832,0.806,0.885,0.849,0.833,0.885,0.872,0.869,0.883,0.969,0.937,0.891,0.881,0.034,0.013,0.079
0.08,0.868,0.844,0.91,0.881,0.865,0.911,0.899,0.896,0.908,0.978,0.95,0.917,0.907,0.042,0.016,0.09
0.1,0.892,0.871,0.925,0.902,0.887,0.927,0.918,0.913,0.925,0.983,0.957,0.932,0.924,0.049,0.018,0.098
0.12,0.908,0.891,0.936,0.917,0.902,0.939,0.931,0.925,0.937,0.986,0.963,0.943,0.936,0.057,0.021,0.106
0.14,0.921,0.906,0.945,0.929,0.914,0.947,0.94,0.934,0.945,0.989,0.967,0.951,0.945,0.065,0.024,0.114
0.16,0.931,0.917,0.951,0.938,0.923,0.954,0.947,0.941,0.952,0.99,0.97,0.958,0.951,0.073,0.028,0.121
0.18,0.939,0.927,0.956,0.945,0.93,0.959,0.953,0.947,0.957,0.991,0.973,0.962,0.956,0.082,0.031,0.129
0.2,0.945,0.935,0.96,0.95,0.936,0.963,0.958,0.951,0.961,0.992,0.975,0.966,0.96,0.091,0.034,0.137
0.22,0.95,0.941,0.963,0.954,0.941,0.966,0.962,0.955,0.965,0.993,0.976,0.969,0.964,0.1,0.038,0.143
0.24,0.955,0.946,0.967,0.958,0.945,0.969,0.965,0.958,0.968,0.994,0.978,0.971,0.967,0.109,0.042,0.149
0.26,0.958,0.95,0.968,0.961,0.949,0.971,0.968,0.961,0.97,0.994,0.979,0.974,0.969,0.119,0.046,0.155
0.28,0.961,0.954,0.971,0.964,0.952,0.973,0.97,0.964,0.972,0.995,0.98,0.975,0.971,0.128,0.05,0.162
0.3,0.964,0.957,0.973,0.966,0.954,0.975,0.972,0.966,0.973,0.995,0.981,0.977,0.973,0.138,0.054,0.168
0.32,0.966,0.96,0.974,0.968,0.957,0.976,0.974,0.968,0.975,0.996,0.982,0.978,0.974,0.148,0.058,0.175
0.34,0.968,0.963,0.976,0.97,0.959,0.978,0.975,0.97,0.976,0.996,0.983,0.98,0.976,0.158,0.062,0.181
0.36,0.969,0.965,0.977,0.971,0.961,0.979,0.977,0.971,0.978,0.996,0.984,0.98,0.977,0.168,0.067,0.188
0.38,0.971,0.967,0.978,0.973,0.963,0.98,0.978,0.973,0.979,0.996,0.984,0.981,0.978,0.178,0.071,0.194
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
