Rel2016b,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.373,0.342,0.463,0.386,0.375,0.459,0.407,0.415,0.469,0.548,0.511,0.472,0.444,0.007,0.005,0.02
0.04,0.497,0.457,0.605,0.514,0.503,0.603,0.542,0.551,0.61,0.719,0.676,0.614,0.587,0.01,0.007,0.026
0.06,0.579,0.541,0.691,0.599,0.588,0.69,0.627,0.636,0.695,0.811,0.768,0.702,0.673,0.013,0.009,0.031
0.08,0.64,0.603,0.745,0.658,0.647,0.743,0.682,0.693,0.75,0.866,0.822,0.758,0.731,0.017,0.011,0.037
0.1,0.685,0.649,0.783,0.703,0.689,0.782,0.725,0.732,0.789,0.899,0.859,0.8,0.771,0.021,0.013,0.041
0.12,0.723,0.686,0.811,0.736,0.723,0.811,0.757,0.763,0.818,0.922,0.884,0.828,0.801,0.025,0.016,0.045
0.14,0.752,0.717,0.833,0.764,0.75,0.833,0.781,0.787,0.839,0.937,0.901,0.85,0.824,0.029,0.018,0.05
0.16,0.775,0.743,0.849,0.786,0.771,0.851,0.801,0.805,0.857,0.949,0.915,0.868,0.842,0.033,0.021,0.053
0.18,0.795,0.767,0.865,0.804,0.789,0.865,0.817,0.821,0.87,0.955,0.925,0.881,0.857,0.038,0.023,0.057
0.2,0.812,0.785,0.875,0.82,0.803,0.876,0.831,0.834,0.881,0.961,0.933,0.893,0.869,0.043,0.026,0.061
0.22,0.827,0.799,0.885,0.832,0.816,0.886,0.843,0.846,0.892,0.965,0.939,0.901,0.879,0.048,0.028,0.064
0.24,0.838,0.812,0.893,0.843,0.826,0.894,0.853,0.855,0.9,0.969,0.943,0.909,0.887,0.054,0.031,0.066
0.26,0.848,0.823,0.9,0.852,0.836,0.901,0.862,0.864,0.906,0.971,0.948,0.915,0.895,0.06,0.034,0.068
0.28,0.857,0.833,0.906,0.86,0.845,0.908,0.869,0.871,0.912,0.974,0.951,0.921,0.901,0.066,0.037,0.071
0.3,0.864,0.843,0.91,0.867,0.852,0.913,0.876,0.878,0.917,0.976,0.954,0.926,0.906,0.072,0.04,0.074
0.32,0.871,0.851,0.915,0.873,0.859,0.918,0.883,0.884,0.922,0.977,0.957,0.929,0.911,0.079,0.043,0.077
0.34,0.877,0.858,0.92,0.879,0.864,0.922,0.889,0.889,0.926,0.979,0.96,0.933,0.916,0.085,0.047,0.079
0.36,0.882,0.864,0.924,0.885,0.869,0.926,0.894,0.894,0.928,0.98,0.962,0.937,0.919,0.092,0.05,0.082
0.38,0.887,0.87,0.927,0.89,0.874,0.929,0.899,0.899,0.931,0.981,0.964,0.939,0.923,0.099,0.054,0.085
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
