Rel2017,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.369,0.343,0.461,0.385,0.378,0.464,0.406,0.414,0.465,0.548,0.51,0.471,0.444,0.009,0.006,0.03
0.04,0.491,0.458,0.601,0.512,0.505,0.606,0.54,0.551,0.606,0.718,0.674,0.615,0.586,0.013,0.008,0.039
0.06,0.576,0.54,0.684,0.598,0.589,0.691,0.625,0.636,0.69,0.808,0.766,0.703,0.672,0.017,0.01,0.047
0.08,0.637,0.601,0.739,0.658,0.647,0.747,0.683,0.692,0.747,0.861,0.823,0.759,0.729,0.021,0.012,0.054
0.1,0.683,0.648,0.779,0.702,0.691,0.788,0.725,0.733,0.785,0.895,0.859,0.799,0.77,0.025,0.015,0.06
0.12,0.719,0.686,0.808,0.736,0.724,0.817,0.757,0.763,0.814,0.918,0.884,0.828,0.8,0.029,0.017,0.065
0.14,0.747,0.716,0.832,0.763,0.75,0.84,0.782,0.786,0.837,0.933,0.902,0.85,0.823,0.034,0.019,0.07
0.16,0.771,0.742,0.85,0.785,0.772,0.857,0.802,0.805,0.854,0.945,0.915,0.867,0.842,0.039,0.022,0.076
0.18,0.79,0.763,0.863,0.803,0.79,0.871,0.818,0.821,0.869,0.953,0.925,0.881,0.856,0.045,0.024,0.079
0.2,0.807,0.781,0.875,0.818,0.804,0.882,0.832,0.834,0.881,0.959,0.933,0.893,0.868,0.05,0.027,0.083
0.22,0.821,0.797,0.884,0.831,0.817,0.892,0.844,0.845,0.89,0.963,0.939,0.902,0.879,0.056,0.03,0.086
0.24,0.834,0.811,0.894,0.842,0.828,0.899,0.854,0.855,0.899,0.967,0.944,0.91,0.887,0.062,0.033,0.09
0.26,0.844,0.823,0.901,0.852,0.838,0.906,0.864,0.863,0.906,0.97,0.948,0.917,0.894,0.068,0.036,0.093
0.28,0.853,0.833,0.906,0.86,0.846,0.912,0.871,0.871,0.912,0.972,0.952,0.922,0.901,0.075,0.039,0.097
0.3,0.861,0.843,0.911,0.868,0.854,0.917,0.879,0.878,0.917,0.974,0.955,0.927,0.906,0.082,0.042,0.1
0.32,0.869,0.851,0.915,0.874,0.86,0.922,0.885,0.884,0.922,0.976,0.957,0.931,0.911,0.089,0.045,0.103
0.34,0.875,0.858,0.919,0.88,0.866,0.926,0.891,0.89,0.925,0.978,0.959,0.935,0.916,0.096,0.049,0.106
0.36,0.881,0.865,0.924,0.885,0.872,0.929,0.896,0.895,0.929,0.979,0.962,0.938,0.92,0.103,0.052,0.109
0.38,0.886,0.871,0.927,0.89,0.877,0.933,0.902,0.9,0.932,0.98,0.964,0.941,0.923,0.111,0.056,0.112
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
