SIP2017,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.5,0.204,0.204,0.216,0.213,0.221,0.215,0.223,0.233,0.215,0.27,0.269,0.222,0.23,0.015,0.042,0.063
1,0.546,0.551,0.552,0.561,0.576,0.551,0.575,0.592,0.549,0.64,0.639,0.56,0.568,0.048,0.135,0.185
1.5,0.767,0.773,0.752,0.779,0.79,0.752,0.786,0.803,0.75,0.832,0.83,0.755,0.758,0.082,0.228,0.285
2,0.866,0.873,0.836,0.873,0.882,0.837,0.877,0.889,0.835,0.902,0.901,0.835,0.838,0.111,0.298,0.351
2.5,0.909,0.915,0.872,0.912,0.92,0.874,0.914,0.922,0.871,0.93,0.928,0.87,0.872,0.133,0.348,0.392
3,0.933,0.939,0.899,0.936,0.943,0.899,0.938,0.945,0.898,0.951,0.95,0.896,0.898,0.156,0.392,0.421
3.5,0.95,0.955,0.921,0.953,0.96,0.92,0.955,0.962,0.919,0.967,0.967,0.917,0.919,0.181,0.438,0.448
4,0.962,0.966,0.935,0.965,0.97,0.936,0.967,0.973,0.934,0.977,0.976,0.931,0.934,0.208,0.48,0.472
4.5,0.97,0.974,0.946,0.973,0.977,0.947,0.974,0.979,0.945,0.983,0.982,0.943,0.944,0.234,0.517,0.493
5,0.975,0.979,0.954,0.978,0.982,0.955,0.979,0.984,0.953,0.987,0.986,0.952,0.952,0.258,0.551,0.511
5.5,0.979,0.983,0.96,0.982,0.985,0.961,0.983,0.986,0.959,0.989,0.989,0.958,0.959,0.282,0.582,0.528
6,0.982,0.986,0.965,0.985,0.988,0.966,0.985,0.989,0.964,0.991,0.99,0.963,0.964,0.304,0.609,0.542
6.5,0.985,0.988,0.969,0.987,0.99,0.97,0.988,0.99,0.969,0.993,0.992,0.967,0.968,0.325,0.634,0.556
7,0.987,0.989,0.972,0.988,0.991,0.973,0.989,0.992,0.972,0.994,0.993,0.971,0.971,0.346,0.656,0.568
7.5,0.989,0.991,0.975,0.99,0.992,0.976,0.99,0.993,0.975,0.994,0.994,0.974,0.974,0.366,0.677,0.579
8,0.99,0.992,0.978,0.991,0.993,0.979,0.991,0.993,0.977,0.995,0.994,0.977,0.977,0.385,0.695,0.59
8.5,0.991,0.993,0.98,0.992,0.994,0.981,0.992,0.994,0.98,0.996,0.995,0.979,0.979,0.403,0.713,0.6
9,0.992,0.993,0.981,0.993,0.994,0.982,0.993,0.995,0.981,0.996,0.995,0.981,0.981,0.42,0.729,0.611
9.5,0.993,0.994,0.983,0.994,0.995,0.984,0.994,0.995,0.983,0.997,0.996,0.983,0.983,0.437,0.744,0.621
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
