Mini2016b,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.711,0.678,0.784,0.736,0.718,0.78,0.767,0.766,0.784,0.913,0.866,0.784,0.777,0.056,0.032,0.11
0.04,0.81,0.781,0.868,0.832,0.813,0.865,0.856,0.852,0.867,0.96,0.921,0.867,0.862,0.077,0.043,0.148
0.06,0.867,0.84,0.91,0.884,0.866,0.906,0.901,0.896,0.908,0.977,0.944,0.91,0.905,0.098,0.054,0.193
0.08,0.903,0.878,0.933,0.916,0.896,0.93,0.927,0.919,0.931,0.986,0.956,0.933,0.929,0.121,0.067,0.225
0.1,0.925,0.904,0.948,0.936,0.918,0.946,0.945,0.935,0.946,0.99,0.963,0.948,0.945,0.144,0.079,0.263
0.12,0.942,0.924,0.957,0.95,0.933,0.956,0.956,0.945,0.956,0.993,0.968,0.958,0.955,0.167,0.092,0.29
0.14,0.953,0.937,0.964,0.96,0.943,0.963,0.965,0.952,0.963,0.995,0.971,0.965,0.963,0.192,0.106,0.311
0.16,0.962,0.948,0.968,0.967,0.951,0.969,0.971,0.959,0.968,0.996,0.974,0.971,0.969,0.217,0.119,0.337
0.18,0.969,0.956,0.972,0.973,0.958,0.973,0.976,0.964,0.973,0.997,0.976,0.975,0.973,0.243,0.133,0.364
0.2,0.974,0.963,0.976,0.977,0.963,0.976,0.98,0.968,0.976,0.997,0.978,0.978,0.976,0.269,0.147,0.392
0.22,0.979,0.969,0.978,0.981,0.967,0.979,0.982,0.971,0.979,0.998,0.979,0.981,0.979,0.296,0.162,0.406
0.24,0.982,0.973,0.981,0.984,0.97,0.981,0.985,0.974,0.981,0.998,0.981,0.983,0.981,0.322,0.178,0.432
0.26,0.984,0.977,0.983,0.986,0.974,0.983,0.987,0.976,0.983,0.998,0.982,0.984,0.983,0.349,0.194,0.465
0.28,0.986,0.979,0.984,0.988,0.976,0.984,0.989,0.978,0.985,0.999,0.983,0.985,0.985,0.376,0.209,0.49
0.3,0.988,0.982,0.986,0.99,0.978,0.985,0.99,0.979,0.986,0.999,0.984,0.987,0.986,0.402,0.224,0.511
0.32,0.989,0.984,0.988,0.991,0.98,0.987,0.991,0.981,0.987,0.999,0.984,0.988,0.987,0.428,0.24,0.526
0.34,0.99,0.986,0.988,0.992,0.982,0.987,0.992,0.982,0.988,0.999,0.985,0.989,0.988,0.453,0.256,0.543
0.36,0.992,0.988,0.989,0.993,0.983,0.988,0.993,0.983,0.989,0.999,0.986,0.99,0.989,0.478,0.271,0.562
0.38,0.993,0.989,0.99,0.994,0.984,0.989,0.994,0.984,0.989,0.999,0.986,0.99,0.99,0.502,0.287,0.578
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
