Mini2018,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.698,0.665,0.768,0.725,0.708,0.771,0.757,0.755,0.769,0.903,0.859,0.775,0.768,0.06,0.032,0.148
0.04,0.798,0.764,0.856,0.82,0.805,0.855,0.846,0.842,0.855,0.952,0.915,0.859,0.853,0.081,0.044,0.18
0.06,0.856,0.827,0.899,0.874,0.858,0.897,0.893,0.885,0.898,0.971,0.939,0.902,0.897,0.103,0.055,0.209
0.08,0.892,0.867,0.925,0.907,0.891,0.923,0.922,0.911,0.924,0.981,0.952,0.927,0.923,0.126,0.067,0.237
0.1,0.917,0.894,0.941,0.929,0.913,0.94,0.94,0.928,0.942,0.987,0.96,0.944,0.94,0.149,0.08,0.267
0.12,0.935,0.915,0.953,0.944,0.929,0.952,0.952,0.94,0.953,0.991,0.966,0.955,0.951,0.173,0.093,0.294
0.14,0.947,0.931,0.961,0.955,0.94,0.961,0.962,0.949,0.961,0.993,0.97,0.962,0.96,0.198,0.106,0.322
0.16,0.957,0.943,0.968,0.963,0.949,0.967,0.968,0.956,0.967,0.994,0.973,0.968,0.966,0.224,0.12,0.346
0.18,0.965,0.953,0.972,0.969,0.956,0.972,0.973,0.961,0.972,0.996,0.975,0.973,0.971,0.251,0.134,0.373
0.2,0.971,0.96,0.976,0.975,0.962,0.975,0.978,0.966,0.976,0.996,0.977,0.976,0.975,0.278,0.148,0.398
0.22,0.975,0.966,0.979,0.979,0.966,0.978,0.981,0.969,0.979,0.997,0.979,0.979,0.978,0.305,0.163,0.419
0.24,0.979,0.971,0.981,0.982,0.97,0.98,0.984,0.972,0.981,0.998,0.98,0.982,0.98,0.332,0.178,0.447
0.26,0.982,0.975,0.983,0.984,0.973,0.983,0.986,0.975,0.983,0.998,0.981,0.984,0.982,0.36,0.194,0.465
0.28,0.985,0.979,0.985,0.986,0.975,0.984,0.988,0.977,0.984,0.998,0.983,0.985,0.984,0.387,0.209,0.487
0.3,0.987,0.981,0.987,0.988,0.978,0.986,0.989,0.979,0.986,0.998,0.983,0.986,0.985,0.414,0.225,0.505
0.32,0.988,0.984,0.988,0.99,0.98,0.987,0.991,0.98,0.987,0.999,0.984,0.987,0.987,0.44,0.242,0.528
0.34,0.99,0.986,0.989,0.991,0.981,0.988,0.992,0.982,0.988,0.999,0.985,0.988,0.988,0.465,0.258,0.546
0.36,0.991,0.988,0.99,0.992,0.983,0.989,0.993,0.983,0.989,0.999,0.986,0.989,0.989,0.491,0.276,0.563
0.38,0.992,0.989,0.991,0.993,0.984,0.99,0.994,0.984,0.99,0.999,0.986,0.99,0.989,0.515,0.292,0.579
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
