Rel2016a,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.02,0.388,0.352,0.465,0.39,0.388,0.472,0.416,0.417,0.466,0.548,0.512,0.48,0.457,0.013,0.011,0.027
0.04,0.51,0.478,0.613,0.527,0.523,0.617,0.557,0.559,0.612,0.723,0.678,0.626,0.603,0.02,0.017,0.041
0.06,0.599,0.567,0.701,0.617,0.611,0.705,0.646,0.647,0.7,0.816,0.771,0.713,0.693,0.028,0.024,0.052
0.08,0.664,0.633,0.761,0.682,0.673,0.762,0.707,0.706,0.759,0.87,0.828,0.772,0.751,0.037,0.031,0.06
0.1,0.713,0.686,0.805,0.73,0.719,0.802,0.751,0.749,0.799,0.904,0.865,0.814,0.792,0.048,0.039,0.07
0.12,0.752,0.725,0.834,0.766,0.754,0.833,0.784,0.781,0.83,0.926,0.89,0.844,0.823,0.059,0.047,0.083
0.14,0.783,0.759,0.857,0.795,0.781,0.854,0.81,0.806,0.854,0.942,0.908,0.867,0.847,0.071,0.056,0.1
0.16,0.808,0.785,0.875,0.818,0.804,0.872,0.831,0.825,0.872,0.953,0.921,0.884,0.866,0.085,0.065,0.113
0.18,0.829,0.809,0.89,0.836,0.823,0.887,0.848,0.841,0.886,0.961,0.931,0.898,0.881,0.099,0.074,0.126
0.2,0.846,0.827,0.902,0.852,0.838,0.898,0.862,0.854,0.898,0.967,0.939,0.91,0.893,0.114,0.084,0.136
0.22,0.861,0.843,0.911,0.866,0.851,0.909,0.875,0.866,0.908,0.971,0.945,0.918,0.903,0.13,0.095,0.144
0.24,0.874,0.857,0.92,0.878,0.863,0.917,0.886,0.876,0.916,0.975,0.95,0.926,0.912,0.147,0.106,0.155
0.26,0.885,0.869,0.927,0.887,0.873,0.924,0.894,0.885,0.923,0.978,0.954,0.933,0.919,0.165,0.117,0.164
0.28,0.894,0.88,0.932,0.895,0.882,0.931,0.902,0.893,0.93,0.979,0.958,0.939,0.926,0.184,0.128,0.173
0.3,0.902,0.889,0.938,0.903,0.89,0.936,0.909,0.901,0.935,0.981,0.961,0.943,0.931,0.204,0.14,0.184
0.32,0.909,0.898,0.942,0.91,0.897,0.941,0.916,0.907,0.94,0.983,0.963,0.948,0.936,0.224,0.153,0.193
0.34,0.915,0.905,0.946,0.916,0.903,0.945,0.921,0.912,0.944,0.985,0.966,0.952,0.941,0.245,0.166,0.202
0.36,0.92,0.912,0.95,0.922,0.909,0.949,0.926,0.918,0.948,0.986,0.968,0.955,0.944,0.266,0.18,0.212
0.38,0.925,0.917,0.953,0.927,0.914,0.952,0.932,0.923,0.951,0.987,0.97,0.958,0.948,0.288,0.193,0.228
0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
