SIP2016b,"CH(70,15)","A(70,15)","W(70,15)","CH(100,60)","A(100,60)","W(100,60)","CH(130,90)","A(130,90)","W(130,90)","CH(160,155)","A(160,155)","W(160,155)",W(TTLL),b(TTLL),c(TTLL),l(TTLL)
0.5,0.218,0.22,0.25,0.232,0.243,0.242,0.246,0.259,0.24,0.299,0.302,0.25,0.279,0.034,0.066,0.084
1,0.578,0.583,0.612,0.6,0.618,0.602,0.613,0.637,0.595,0.692,0.684,0.605,0.636,0.1,0.198,0.222
1.5,0.797,0.802,0.802,0.813,0.826,0.795,0.818,0.836,0.794,0.867,0.862,0.795,0.811,0.159,0.311,0.358
2,0.892,0.896,0.876,0.897,0.907,0.871,0.901,0.912,0.872,0.924,0.923,0.869,0.876,0.199,0.382,0.448
2.5,0.931,0.934,0.906,0.932,0.941,0.903,0.935,0.942,0.903,0.949,0.948,0.902,0.905,0.229,0.43,0.494
3,0.955,0.958,0.931,0.955,0.962,0.928,0.957,0.962,0.928,0.968,0.966,0.926,0.93,0.265,0.478,0.521
3.5,0.97,0.973,0.95,0.971,0.976,0.947,0.973,0.977,0.945,0.981,0.979,0.945,0.948,0.305,0.529,0.554
4,0.978,0.982,0.961,0.979,0.984,0.958,0.982,0.985,0.957,0.988,0.986,0.956,0.961,0.344,0.573,0.582
4.5,0.984,0.988,0.969,0.985,0.989,0.967,0.986,0.989,0.965,0.991,0.99,0.966,0.968,0.381,0.613,0.616
5,0.987,0.992,0.974,0.988,0.992,0.973,0.99,0.992,0.972,0.993,0.993,0.972,0.975,0.414,0.649,0.635
5.5,0.99,0.993,0.979,0.991,0.994,0.977,0.992,0.994,0.976,0.994,0.994,0.977,0.979,0.446,0.679,0.659
6,0.992,0.995,0.983,0.993,0.995,0.981,0.994,0.995,0.98,0.996,0.996,0.981,0.983,0.476,0.707,0.679
6.5,0.993,0.996,0.985,0.994,0.996,0.984,0.995,0.996,0.983,0.997,0.997,0.984,0.985,0.504,0.733,0.695
7,0.995,0.997,0.988,0.996,0.997,0.987,0.996,0.997,0.986,0.997,0.997,0.987,0.988,0.53,0.754,0.717
7.5,0.996,0.998,0.99,0.997,0.998,0.988,0.997,0.998,0.988,0.998,0.998,0.989,0.99,0.554,0.774,0.734
8,0.997,0.998,0.991,0.998,0.998,0.99,0.998,0.998,0.991,0.999,0.998,0.99,0.991,0.577,0.793,0.746
8.5,0.997,0.998,0.993,0.998,0.998,0.992,0.998,0.999,0.992,0.999,0.999,0.992,0.993,0.598,0.81,0.76
9,0.998,0.999,0.994,0.998,0.999,0.993,0.999,0.999,0.993,0.999,0.999,0.993,0.994,0.618,0.825,0.769
9.5,0.998,0.999,0.995,0.999,0.999,0.994,0.999,0.999,0.994,0.999,0.999,0.994,0.995,0.637,0.838,0.781
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
